"","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","LD10","LD11","LD12","LD13","LD14","LD15","LD16","LD17","LD18","LD19","LD20","LD21","LD22","LD23","LD24","LD25","LD26","LD27","LD28","LD29","LD30","LD31","LD32","LD33","LD34","LD35"
"Catopuma_temminckii",-0.149077329719921,0.374195575368023,9.105616231623,-3.82894839689243,1.29957090858725,1.70007355732607,-2.47270478704966,0.0170781955082493,-0.273010435194571,2.19510166042703,-1.36712884712291,0.876638858403309,-0.545962338508208,-0.257650971380207,0.116125543134924,0.451742526267519,-1.0046838678577,-1.01183542376164,-1.43841963067054,-0.0707371556354874,0.765657420071366,0.464863149443357,-0.397773636644531,0.0333735681284019,0.261378747215929,0.0697391644881385,0.600554471075899,-0.10296460609932,-0.0371667102296022,0.128953621253748,1.00585739288059,-0.505392594192968,-0.608676745863257,0.572748276027835,-0.247178106525209
"Civettictis_civetta",-3.32235987083507,-4.86015433661346,-5.04534631524541,-4.66716976363862,-1.54504909085616,-1.59352616615058,1.18627376649326,-2.53017584367669,-1.38414620951333,-3.52870662746899,-3.03354352288917,2.65532869934822,-3.70653508367675,1.15564599085878,0.85898192223867,-2.24735852822665,2.02994010653171,-1.11087618106155,-3.43186450866994,0.855949213744341,1.29471924758945,1.34731298922206,-0.0610867660197151,-0.0171532245425215,-0.544346317680811,0.261212555314974,-0.359604598695421,-0.492706851228393,-0.0171672618555653,-0.289148904361415,-0.278347209012536,0.261199491579281,0.445693943693488,0.453575647247718,0.405892124192313
"Crocuta_crocuta",16.5070852760588,-13.8177312753067,14.5925124832338,-4.98309362805417,-0.255938883593708,4.78802565139081,12.6264099754541,8.19542312200518,-1.68661145968333,-2.00660461586202,-3.61491981734037,-1.72456497697422,2.12185719691284,0.226968901113598,-0.249734769897655,-0.866736200792345,-0.187052291196559,-1.13787871791347,0.351618913138429,-2.9166222487431,-2.19594059308321,0.34692271567313,0.59677850956422,-0.808903871364861,-0.270450653863022,1.17605217687388,-0.257127039643444,-0.793579706745029,-1.30461631259083,-0.893023315762068,-0.330874608035745,0.507559799234727,0.147377676292235,-0.400520765756905,0.267042007164388
"Crossarchus_obscurus",-10.7357238433878,3.99138788386151,-1.74763647001213,0.628862862453134,1.39193337482351,-3.01296123697116,1.77132724121439,-1.47340687498487,-0.798900867644391,-0.928705186460509,-0.0469020717586016,-1.97854107050671,0.399102759286299,0.973337019416985,0.896542105226822,0.670416697938406,-0.367685604585128,-0.892541953887862,0.216488717318096,-0.169634832333863,-1.29486726364376,-0.276491064546373,0.885429669818013,0.428385704852506,0.0200352795336329,-0.411679798438489,0.43447015070002,1.07102119763307,0.675333367781923,0.176851170451406,-0.0800974137615287,-0.45769767129516,-0.089356989158224,0.376329329573295,0.0285832669987827
"Crossarchus_platycephalus",-10.4195360528261,3.95479190694209,-1.62689370131395,0.200480454726211,1.14249203265982,-2.80880483659865,1.76869900661682,-1.59622443945172,-0.425958670938823,-0.758773672787541,-0.0972752299401685,-1.36320132595604,0.0403803808914068,1.11220763121689,0.787152574968009,0.463394797335828,-0.60657055308449,-0.605951505960755,0.923610458670499,0.0834684841856219,-1.1324454971632,0.26782599632854,1.21559346580783,0.390176293260856,-0.3454197835946,-0.2448792087134,0.564999423758018,1.02374216720088,0.306658273072629,0.400566464763485,0.191183577806632,-0.457726988363698,-0.424948699393009,0.766653537734389,0.0488342985909322
"Cryptoprocta_ferox",-4.05508056980691,-0.205999801541862,2.29953239795944,-3.44979838493362,-3.48208983789572,0.784338841341375,2.24022044460054,-2.21037359648798,0.221176336356339,-1.67757948192733,-0.57631347634918,1.88685096546799,-2.42044176361804,1.36751162343662,1.35058175427337,-1.39202007786085,0.0252453428975566,0.57169371886352,1.36852924185344,-0.618326527757229,0.312744081524847,0.635259259281639,1.05781842138509,0.0301121535598255,0.28490677657301,-1.08671090677599,-0.381092440691607,-0.577614322825596,-0.769317128147236,-0.429500671480651,0.151398096218788,-0.388647791769774,0.0509649362089525,-0.50375625796209,0.155582883313877
"Cynictis_penicillata",-10.6698623399358,3.81887276094916,-0.597034603986173,0.0751372733735848,1.2485501503287,-0.695273197775523,1.84195002718502,-0.168474919148209,-1.32765945436802,-0.211045490331184,-0.189891655147309,-0.426370742705428,-0.937348796416543,-0.86395047016912,0.277608349211243,-0.332748868656101,-0.501728887606758,-0.0951751301785018,0.0591568185999236,0.186954369818652,-0.689491269185589,-0.896991936358839,0.479056074945396,-0.134752539689019,-0.032390261543753,-0.510799947012376,-0.350834500521479,0.261797644965246,0.271922995140004,1.31110418393144,0.212990675296593,0.00658522267625683,-0.140104224900051,-0.30550937681642,0.257953175068626
"Felis_catus",-5.08549242947796,1.59793082582509,7.6708197737119,-1.4247672086811,1.60947570156745,2.27688199195212,-0.178850560699903,0.816013606764331,0.969328723605244,0.767315021443472,0.237567320323563,-0.469104556565068,-0.928369552338903,-1.87869303255336,0.401240337492529,0.533774018188109,0.521294704180919,-0.764709267309939,-0.81375713459597,0.0610030078561524,0.459960076610033,-0.863891135249764,0.264031621841746,-0.470336952734163,0.263286842060319,-0.35457253279035,-0.027001849535067,-0.0333569617745917,0.598478756359496,-0.59071434171849,0.215383580975798,-0.379278315178602,0.052893687804087,-0.259274863616736,-0.452897953509077
"Felis_margarita",-5.63155339529187,2.37127041916875,8.28171555778378,-0.0650011120102417,1.88256634688275,1.97988153787635,-1.99982980182917,0.608013013432378,-1.05544958971633,1.93543295498603,0.114729249287841,-1.31602541484296,-0.452206966816759,-1.83070334814015,0.268760174678444,-0.447610334207841,0.90466632847671,0.274792107762724,-1.00801769488963,0.918419320843985,0.348627342517105,-2.04363532313692,0.995451904396148,-1.55741390532734,0.248090403668028,-1.33808155626454,-0.588589619063706,-1.39015079396006,0.349231042809506,-0.740528681729463,0.645615491532857,0.042781534409603,-0.195154143197749,0.37336000565007,-0.258921641684351
"Felis_silvestris",-4.39451189789683,1.54463628521749,8.78873948166368,-1.64778697403234,1.32013485466253,1.41571179741656,0.0552625282127451,0.310642071190224,1.16690459016694,1.34931315273825,0.108243268186127,0.057705395022437,-1.27517754438572,-2.16922044028342,0.398812062547762,0.882271561848749,0.397597758230145,-0.152969052587273,-0.683268710522323,0.417809485087966,0.121338369511454,-1.05795271465264,1.05188298398729,-0.794652358846081,0.60709125595184,-1.02561992402712,-0.167301193901755,-0.95100937511451,0.412373012151602,0.0157803140149637,-0.141652924583243,-0.723549738208421,-0.0763046071833575,-0.0540959842368789,0.120988936459391
