SAMPLE	output.r2.means.M3	output.i.means.M3	output.r.means.M3	output.e.means.M3	output.f.means.M3	output.c.means.M3	output.vc.means.M3	output.r2.means.M2	output.i.means.M2	output.r.means.M2	output.e.means.M2	output.f.means.M2	output.c.means.M2	output.vc.means.M2	output.r2.means.M1	output.i.means.M1	output.r.means.M1	output.e.means.M1	output.f.means.M1	output.c.means.M1	output.vc.means.M1
49	0.007675408	0.000741323	0.044775121	0.021961723	0.004368452	0.042750361	0.006793614	0.028890961	0.002590229	0.0264082	0.013584079	0.002737332	0.040467665	0.024948143	0.061489846	0.005651519	0.012408114	0.009232712	0.002414332	0.041063745	0.053691228
50	0.00789352	0.000675976	0.038112747	0.028916374	0.004425872	0.038925471	0.007302018	0.034153532	0.002515606	0.022494784	0.008394662	0.004022799	0.045161112	0.045572483	0.051534599	0.00529874	0.011859607	0.006681685	0.002282393	0.042862828	0.069340624
51	0.008915008	0.00064018	0.03612374	0.029054447	0.004351904	0.039978858	0.01131455	0.030449914	0.002172006	0.016241219	0.010847639	0.00310272	0.039845962	0.032093876	0.050878748	0.004615788	0.017026538	0.008771016	0.002054783	0.041339943	0.046927785
52	0.006959478	0.000573181	0.04898995	0.028299712	0.004056044	0.037964382	0.008070362	0.031862443	0.002257884	0.024633827	0.00950093	0.002458303	0.03506849	0.022981197	0.04424358	0.004310592	0.011862825	0.00772687	0.002429619	0.037249457	0.053194036
53	0.008204273	0.000617532	0.030220019	0.02430061	0.004749408	0.035056959	0.006874561	0.025924314	0.002490483	0.024680962	0.010494108	0.002885187	0.031256842	0.029008754	0.047575879	0.004146587	0.010385556	0.007206126	0.001964481	0.036488938	0.050974568
54	0.00549844	0.000681659	0.033225606	0.026216913	0.004694789	0.036897781	0.007218912	0.028749884	0.001960026	0.016552875	0.008802717	0.003043672	0.037386516	0.033904719	0.044457152	0.004631413	0.018204091	0.007787184	0.001839066	0.038978658	0.047879892
55	0.007236461	0.000624876	0.023755256	0.031148331	0.005118825	0.031745672	0.007604334	0.022838025	0.001631494	0.015335027	0.00894611	0.002747318	0.030650606	0.031001012	0.047104112	0.004535103	0.012335743	0.008092329	0.002216506	0.032999748	0.040369725
56	0.008269024	0.000648176	0.02660285	0.026244635	0.004408995	0.035346813	0.007102975	0.028203494	0.00194792	0.025937308	0.012535913	0.002910285	0.030378212	0.025657661	0.038957824	0.003918463	0.013039686	0.008152804	0.00194726	0.034220254	0.055729097
57	0.005990559	0.000539449	0.043408724	0.017237872	0.003701867	0.031065885	0.009840062	0.026725828	0.001776071	0.024456511	0.012898516	0.001850391	0.028037696	0.025094692	0.034771867	0.004343952	0.010449476	0.006434899	0.001653071	0.031407792	0.046150681
58	0.006816032	0.000557639	0.03547167	0.022205057	0.005173012	0.03450883	0.00851274	0.033971671	0.001839803	0.017486126	0.008006661	0.003035659	0.03148858	0.024120366	0.043046848	0.003622117	0.014924961	0.004430204	0.001430265	0.034375486	0.046192128
59	0.007599184	0.000505503	0.030618444	0.02405682	0.003190365	0.028069634	0.00896373	0.023022685	0.001790057	0.026252962	0.006369063	0.002491496	0.031145387	0.031578859	0.045451889	0.00438203	0.011221132	0.00762562	0.001887857	0.029342376	0.048956965
60	0.006984599	0.000555188	0.037634746	0.021539427	0.003923268	0.032346343	0.00720284	0.024961792	0.001637088	0.019939711	0.007612099	0.002711999	0.024931416	0.03190567	0.03758915	0.003673889	0.013919946	0.008272168	0.001922602	0.028658284	0.039339879
61	0.007272313	0.000493158	0.044084709	0.022500644	0.003881078	0.02592365	0.005636303	0.024059981	0.001497728	0.018117408	0.008117465	0.002652177	0.032716646	0.024685011	0.039869355	0.003635139	0.01131425	0.007238659	0.001545401	0.02882566	0.029893578
62	0.00664783	0.000474792	0.031657233	0.029508874	0.004476605	0.027405985	0.006096457	0.026031934	0.001673008	0.015337043	0.009499735	0.00251471	0.033280781	0.029581861	0.026940349	0.003018146	0.01039438	0.006514773	0.001522073	0.025034812	0.032257757
63	0.006711214	0.000445626	0.036452404	0.02389783	0.004743931	0.02985587	0.005817722	0.032270797	0.001749144	0.019001262	0.006908469	0.00210618	0.027648339	0.031657557	0.029145901	0.004054275	0.012795507	0.007267606	0.001815955	0.026999199	0.0267293
64	0.007486484	0.000351338	0.027419597	0.017594131	0.00349003	0.027327663	0.00524349	0.023450338	0.001558808	0.019144129	0.007756728	0.001881376	0.028823781	0.025051322	0.038856236	0.002949723	0.010852364	0.004410051	0.001372046	0.029759667	0.031955727
65	0.007866199	0.000512205	0.033465114	0.022693601	0.003177554	0.023491447	0.007082399	0.025919389	0.001307269	0.014224046	0.007486528	0.002202896	0.025583051	0.02712161	0.03399068	0.002643415	0.014326752	0.005264991	0.001682724	0.026579403	0.033722996
66	0.007613602	0.000447912	0.035466349	0.020152456	0.004289139	0.024844784	0.005932753	0.025750622	0.00144228	0.018243064	0.008960612	0.002442017	0.024847441	0.024396113	0.03502574	0.002852055	0.010140672	0.005570223	0.00140756	0.023610549	0.023373231
67	0.006380294	0.000320535	0.034062086	0.01706361	0.002994692	0.025298237	0.006383585	0.030075319	0.001481246	0.019422627	0.007037187	0.002188288	0.02112845	0.025194531	0.029429742	0.002838036	0.012220104	0.004286414	0.00128193	0.025946161	0.034374442
68	0.005943998	0.00041565	0.031792147	0.019753016	0.003662913	0.023064213	0.006670657	0.024816062	0.001568903	0.018191457	0.007633144	0.002820598	0.021960776	0.020141993	0.02506696	0.003320896	0.010042977	0.005864307	0.001686178	0.026247307	0.025741684
69	0.006250825	0.000391533	0.031947791	0.01877196	0.003187627	0.023324069	0.006290771	0.025667033	0.001449762	0.01878261	0.007369466	0.002018569	0.019913496	0.026142571	0.030587994	0.002517888	0.011698996	0.005436163	0.001450162	0.021207913	0.035878039
70	0.006292123	0.000406333	0.037439983	0.012764065	0.003152692	0.025133683	0.006447293	0.025532757	0.001572571	0.016310227	0.006394616	0.002522479	0.024155714	0.024825936	0.028326347	0.003011872	0.009229951	0.006975445	0.00112763	0.020464992	0.033886024
71	0.005383789	0.000333598	0.028391597	0.019750526	0.003010182	0.021970356	0.00696869	0.023252962	0.00129221	0.013245476	0.00810361	0.002527299	0.021200705	0.016881464	0.020357972	0.003167939	0.009546003	0.006316135	0.001038937	0.021451791	0.025495288
72	0.004813823	0.000408814	0.029498383	0.019263977	0.003492947	0.020393144	0.007062088	0.016944708	0.001337332	0.013562648	0.007227042	0.001924725	0.02544222	0.017292085	0.024415599	0.002696461	0.010878578	0.005296736	0.001227765	0.021047931	0.031556422
73	0.005797204	0.000370603	0.033141103	0.020174469	0.003111687	0.021161974	0.006543647	0.022964284	0.0012689	0.01273713	0.007543077	0.001656007	0.020443831	0.018022975	0.025375685	0.002882611	0.008640934	0.005289122	0.001014046	0.022936017	0.032332669
74	0.005591413	0.000346994	0.031344853	0.018995754	0.003029834	0.019192275	0.005881357	0.021925004	0.001057132	0.016864247	0.006604096	0.002268466	0.021877304	0.023359151	0.02834067	0.002611097	0.011123141	0.004847506	0.001477592	0.017591108	0.027381455
